"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT11"
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-15","0.00","0.0","0.0","55","42","49",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-16","1.59","0.0","0.0","52","43","44",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-17","0.52","0.0","0.0","45","35","42",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-18","0.04","0.0","0.0","47","40","44",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-19","0.00","0.0","0.0","57","42","57",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-20","0.00","0.0","0.0","63","42","56",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-21","0.00","0.0","0.0","61","49","58",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-22","0.06","0.0","0.0","62","34","40",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-23","0.00","0.0","0.0","48","38","43",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-24","0.00","0.0","0.0","60","41","58",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-25","0.17","0.0","0.0","67","45","46",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-26","0.41","0.0","0.0","49","41","49",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-27","0.00","0.0","0.0","56","36","53",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-28","0.00","0.0","0.0","60","46","54",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-29","0.00","0.0","0.0","64","48","52","    1",,
